Winner,ScoreW,ScoreL,Loser,Wk,Home/Away/Neutral,Date,Day,Spread,PointDif,,,Progress
Florida,24,20,Miami(FL),1,N,Aug 24 2019,Sat,8.5,4,,,100.00%
Hawaii,45,38,Arizona,1,,Aug 24 2019,Sat,-12,7,,,
Alabama-Birmingham,24,19,AlabamaState,2,,Aug 29 2019,Thu,38,5,,,
ArizonaState,30,7,KentState,2,,Aug 29 2019,Thu,25.5,23,,,
BowlingGreenState,46,3,MorganState,2,,Aug 29 2019,Thu,23,43,,,
Buffalo,38,10,RobertMorris,2,,Aug 29 2019,Thu,46.5,28,,,
CentralArkansas,35,28,WesternKentucky,2,@,Aug 29 2019,Thu,-8,7,,,
CentralFlorida,62,0,FloridaA&M,2,,Aug 29 2019,Thu,47,62,,,
CentralMichigan,38,21,Albany,2,,Aug 29 2019,Thu,15.5,17,,,
Charlotte,49,28,Gardner-Webb,2,,Aug 29 2019,Thu,31.5,21,,,
Cincinnati,24,14,UCLA,2,,Aug 29 2019,Thu,4,10,,,
Clemson,52,14,GeorgiaTech,2,,Aug 29 2019,Thu,33,38,,,
Connecticut,24,21,Wagner,2,,Aug 29 2019,Thu,18.5,3,,,
Minnesota,28,21,SouthDakotaState,2,,Aug 29 2019,Thu,15.5,7,,,
SanJoseState,35,18,NorthernColorado,2,,Aug 29 2019,Thu,13,17,,,
TexasA&M,41,7,TexasState,2,,Aug 29 2019,Thu,33.5,34,,,
Tulane,42,14,FloridaInternational,2,,Aug 29 2019,Thu,2,28,,,
Utah,30,12,BrighamYoung,2,@,Aug 29 2019,Thu,7,18,,,
Army,14,7,Rice,2,,Aug 30 2019,Fri,23.5,7,,,
Colorado,52,31,ColoradoState,2,N,Aug 30 2019,Fri,10.5,21,,,
MichiganState,28,7,Tulsa,2,,Aug 30 2019,Fri,20,21,,,
Nevada,34,31,Purdue,2,,Aug 30 2019,Fri,-6.5,3,,,
OklahomaState,52,36,OregonState,2,@,Aug 30 2019,Fri,16.5,16,,,
Rutgers,48,21,Massachusetts,2,,Aug 30 2019,Fri,10,27,,,
WakeForest,38,35,UtahState,2,,Aug 30 2019,Fri,2.5,3,,,
Wisconsin,49,0,SouthFlorida,2,@,Aug 30 2019,Fri,9.5,49,,,
AirForce,48,7,Colgate,2,,Aug 31 2019,Sat,20.5,41,,,
Alabama,42,3,Duke,2,N,Aug 31 2019,Sat,30,39,,,
AppalachianState,42,7,EastTennesseeState,2,,Aug 31 2019,Sat,32.5,35,,,
Arkansas,20,13,PortlandState,2,,Aug 31 2019,Sat,30,7,,,
Auburn,27,21,Oregon,2,N,Aug 31 2019,Sat,2.5,6,,,
Baylor,56,17,StephenF.Austin,2,,Aug 31 2019,Sat,42,39,,,
BoiseState,36,31,FloridaState,2,@,Aug 31 2019,Sat,-6.5,5,,,
BostonCollege,35,28,VirginiaTech,2,,Aug 31 2019,Sat,-4.5,7,,,
California,27,13,California-Davis,2,,Aug 31 2019,Sat,-2.5,14,,,
EasternMichigan,30,23,CoastalCarolina,2,@,Aug 31 2019,Sat,5.5,7,,,
Georgia,30,6,Vanderbilt,2,@,Aug 31 2019,Sat,20,24,,,
GeorgiaState,38,30,Tennessee,2,@,Aug 31 2019,Sat,-25.5,8,,,
Illinois,42,3,Akron,2,,Aug 31 2019,Sat,15.5,39,,,
Indiana,34,24,BallState,2,N,Aug 31 2019,Sat,16.5,10,,,
Iowa,38,14,Miami(OH),2,,Aug 31 2019,Sat,21.5,24,,,
IowaState,29,26,NorthernIowa,2,,Aug 31 2019,Sat,20.5,3,,,
Kansas,24,17,IndianaState,2,,Aug 31 2019,Sat,9.5,7,,,
KansasState,49,14,NichollsState,2,,Aug 31 2019,Sat,20.5,35,,,
Kentucky,38,24,Toledo,2,,Aug 31 2019,Sat,13.5,14,,,
LouisianaState,55,3,GeorgiaSouthern,2,,Aug 31 2019,Sat,25.5,52,,,
Louisiana-Monroe,31,9,GramblingState,2,,Aug 31 2019,Sat,28.5,22,,,
Marshall,56,17,VirginiaMilitaryInstitute,2,,Aug 31 2019,Sat,39.5,39,,,
Maryland,79,0,Howard,2,,Aug 31 2019,Sat,30,79,,,
Memphis,15,10,Mississippi,2,,Aug 31 2019,Sat,7.5,5,,,
Michigan,40,21,MiddleTennesseeState,2,,Aug 31 2019,Sat,30,19,,,
MississippiState,38,28,Louisiana,2,N,Aug 31 2019,Sat,22.5,10,,,
Navy,45,7,HolyCross,2,,Aug 31 2019,Sat,21.5,38,,,
Nebraska,35,21,SouthAlabama,2,,Aug 31 2019,Sat,32,14,,,
Nevada-LasVegas,56,23,SouthernUtah,2,,Aug 31 2019,Sat,24,33,,,
NewMexico,39,31,SamHoustonState,2,,Aug 31 2019,Sat,7,8,,,
NorthCarolina,24,20,SouthCarolina,2,N,Aug 31 2019,Sat,-7.5,4,,,
NorthCarolinaState,34,6,EastCarolina,2,,Aug 31 2019,Sat,20.5,28,,,
NorthTexas,51,31,AbileneChristian,2,,Aug 31 2019,Sat,22.5,20,,,
NorthernIllinois,24,10,IllinoisState,2,,Aug 31 2019,Sat,26.5,14,,,
Ohio,41,20,RhodeIsland,2,,Aug 31 2019,Sat,25,21,,,
